Model,Mean CV Score,Train Score,Test Score,Precision Score,Recall Score,f1 Score,Time Taken (s)
"LogisticRegression(class_weight='balanced', max_iter=5000, penalty='l1',
                   solver='liblinear')",0.6805341944366334,0.705923113168325,0.6789356984478936,0.686439620776683,0.6789356984478936,0.6806656161503136,0 days 00:11:09.215190
"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.6249618311813434,0.6634884558884669,0.6266075388026607,0.705983265837714,0.6266075388026607,0.656366564398852,0 days 00:09:14.497207
"LogisticRegression(class_weight='balanced', l1_ratio=0.9, max_iter=6000,
                   n_jobs=-1, penalty='elasticnet', solver='saga')",0.5643723887626326,0.6608276282602068,0.6521064301552106,0.6740286410165256,0.6521064301552106,0.6608263751375072,0 days 08:37:38.985897
KNeighborsClassifier(),0.6912887661668149,0.7588624961889188,0.7006651884700665,0.6302690796340874,0.7006651884700665,0.6557431611496065,0 days 01:24:45.190252
GaussianNB(),0.10801285124455857,0.11283572161090939,0.1,0.6388303810300635,0.1,0.09815266637011334,0 days 00:00:07.347964
MultinomialNB(),0.6506001870026261,0.6639873610687658,0.6511086474501109,0.5795678758923617,0.6511086474501109,0.6000901714098502,0 days 00:00:02.060046
ComplementNB(),0.5532856876149559,0.5811413841847057,0.562860310421286,0.6071312126274233,0.562860310421286,0.5792211586729874,0 days 00:00:01.255526
BernoulliNB(),0.6288144809486272,0.6373513678317027,0.6284922394678493,0.6041439129535403,0.6284922394678493,0.6094648548114248,0 days 00:00:04.176331
DecisionTreeClassifier(class_weight='balanced'),0.6487153365202145,1.0,0.6504434589800443,0.6568339940891375,0.6504434589800443,0.6535213234800761,0 days 00:00:13.382180
"RandomForestClassifier(class_weight='balanced', n_jobs=-1)",0.6967486627852482,1.0,0.7014412416851441,0.6594576822347319,0.7014412416851441,0.6324221346838657,0 days 00:00:22.530736
"SVC(class_weight='balanced', kernel='linear')",0.6171456284870919,0.6627123811635578,0.6197339246119734,0.7044997609975452,0.6197339246119734,0.6507536782980695,0 days 02:24:02.253456
"SVC(class_weight='balanced', kernel='poly')",0.6680895384553921,0.8527121039940131,0.6868070953436807,0.7175418657577082,0.6868070953436807,0.6993208703919539,0 days 02:53:35.716193
SVC(class_weight='balanced'),0.6585546325790228,0.7965575542559383,0.6729490022172949,0.7286979893287453,0.6729490022172949,0.6938351819611186,0 days 02:36:08.277986
MLPClassifier(solver='lbfgs'),0.6797861877739928,0.9442334876243799,0.6873614190687362,0.6843534335860392,0.6873614190687362,0.6857719945190176,0 days 00:03:14.584622
"MLPClassifier(max_iter=5000, solver='sgd')",0.6933674109893622,0.9957870229219213,0.6978935698447893,0.6906429940562769,0.6978935698447893,0.6939936477870288,0 days 01:55:58.883590
MLPClassifier(),0.674630600667186,1.0,0.6731707317073171,0.6631817176333147,0.6731707317073171,0.6679013578363842,0 days 00:06:53.026773
